game_id,week,date,away_team,home_team,away_score,home_score,location
2025-07-19-SD-OAK,13,2025-07-19,SD,OAK,14,17,Fremont High School
2025-07-19-DC-PHI,13,2025-07-19,DC,PHI,15,24,Turf Field at Neumann 
2025-07-19-PIT-IND,13,2025-07-19,PIT,IND,18,25,Kuntz Stadium
2025-07-19-BOS-NY,13,2025-07-19,BOS,NY,21,22,The Stadium at Memorial Field
2025-07-19-DET-CHI,13,2025-07-19,DET,CHI,14,39,Northwestern Medicine Field at Martin Stadium 
2025-07-19-ORE-SEA,13,2025-07-19,ORE,SEA,17,26,Interbay Stadium
2025-07-19-CAR-HTX,13,2025-07-19,CAR,HTX,25,21,Sabercats Stadium
2025-07-20-LV-LA,13,2025-07-20,LV,LA,15,18,Great Park Championship Stadium
2025-07-20-CHI-MAD,13,2025-07-20,CHI,MAD,24,18,Breese Stevens Field
2025-07-20-DET-MIN,13,2025-07-20,DET,MIN,11,35,Sea Foam Stadium
